"h2","Pval","region_label","h2round","PFDR","phenotype","label"
0.0272,0.0078,"asymmetry_fusiform",0.0272,0.0110242424242424,"SA","lh_fusiform"
0.0836,0.0107,"asymmetry_inferiorparietal",0.0836,0.0110242424242424,"SA","lh_inferiorparietal"
0.0463,0.0105,"asymmetry_inferiortemporal",0.0463,0.0110242424242424,"SA","lh_inferiortemporal"
0.0159,0.0103,"asymmetry_insula",0.0159,0.0110242424242424,"SA","lh_insula"
0.0546,0.01,"asymmetry_isthmuscingulate",0.0546,0.0110242424242424,"SA","lh_isthmuscingulate"
0.04,0.0087,"asymmetry_lateraloccipital",0.04,0.0110242424242424,"SA","lh_lateraloccipital"
0.0381,0.0101,"asymmetry_lateralorbitofrontal",0.0381,0.0110242424242424,"SA","lh_lateralorbitofrontal"
0.0435,0.0095,"asymmetry_lingual",0.0435,0.0110242424242424,"SA","lh_lingual"
0.0196,0.009,"asymmetry_medialorbitofrontal",0.0196,0.0110242424242424,"SA","lh_medialorbitofrontal"
0.0401,0.0097,"asymmetry_middletemporal",0.0401,0.0110242424242424,"SA","lh_middletemporal"
0.029,0.0095,"asymmetry_paracentral",0.029,0.0110242424242424,"SA","lh_paracentral"
0.0819,0.0118,"asymmetry_parahippocampal",0.0819,0.0118,"SA","lh_parahippocampal"
0.0215,0.0097,"asymmetry_parsopercularis",0.0215,0.0110242424242424,"SA","lh_parsopercularis"
0.0201,0.0092,"asymmetry_parsorbitalis",0.0201,0.0110242424242424,"SA","lh_parsorbitalis"
0.0291,0.0095,"asymmetry_parstriangularis",0.0291,0.0110242424242424,"SA","lh_parstriangularis"
0.0609,0.0099,"asymmetry_pericalcarine",0.0609,0.0110242424242424,"SA","lh_pericalcarine"
0.0346,0.0102,"asymmetry_postcentral",0.0346,0.0110242424242424,"SA","lh_postcentral"
0.0457,0.0095,"asymmetry_posteriorcingulate",0.0457,0.0110242424242424,"SA","lh_posteriorcingulate"
0.016,0.0088,"asymmetry_precentral",0.016,0.0110242424242424,"SA","lh_precentral"
0.0386,0.0102,"asymmetry_precuneus",0.0386,0.0110242424242424,"SA","lh_precuneus"
0.035,0.0087,"asymmetry_rostralanteriorcingulate",0.035,0.0110242424242424,"SA","lh_rostralanteriorcingulate"
0.0265,0.0085,"asymmetry_rostralmiddlefrontal",0.0265,0.0110242424242424,"SA","lh_rostralmiddlefrontal"
0.0288,0.0092,"asymmetry_superiorfrontal",0.0288,0.0110242424242424,"SA","lh_superiorfrontal"
0.035,0.0087,"asymmetry_superiorparietal",0.035,0.0110242424242424,"SA","lh_superiorparietal"
0.0681,0.01,"asymmetry_superiortemporal",0.0681,0.0110242424242424,"SA","lh_superiortemporal"
0.0488,0.0091,"asymmetry_supramarginal",0.0488,0.0110242424242424,"SA","lh_supramarginal"
0.0365,0.0092,"asymmetry_temporalpole",0.0365,0.0110242424242424,"SA","lh_temporalpole"
0.0543,0.0101,"asymmetry_transversetemporal",0.0543,0.0110242424242424,"SA","lh_transversetemporal"
0.0834,0.012,"Left-Accumbens-area",0.0834,0.012,"SUBC","Left-Accumbens-area"
0.0535,0.0102,"Left-Amygdala",0.0535,0.0119,"SUBC","Left-Amygdala"
0.046,0.0098,"Left-Caudate",0.046,0.0119,"SUBC","Left-Caudate"
0.024,0.009,"Right-Cerebellum-Cortex",0.024,0.0119,"SUBC","Right-Cerebellum-Cortex"
0.0189,0.0092,"Right-Cerebellum-White-Matter",0.0189,0.0119,"SUBC","Right-Cerebellum-White-Matter"
0.0219,0.0082,"Left-choroid-plexus",0.0219,0.0119,"SUBC","Left-choroid-plexus"
0.0519,0.0094,"Left-Hippocampus",0.0519,0.0119,"SUBC","Left-Hippocampus"
0.0167,0.0091,"Left-Inf-Lat-Vent",0.0167,0.0119,"SUBC","Left-Inf-Lat-Vent"
0.0642,0.0099,"Left-Lateral-Ventricle",0.0642,0.0119,"SUBC","Left-Lateral-Ventricle"
0.049,0.0113,"Left-Pallidum",0.049,0.012,"SUBC","Left-Pallidum"
0.0329,0.0095,"Left-Putamen",0.0329,0.0119,"SUBC","Left-Putamen"
0.0222,0.0095,"Left-Thalamus-Proper",0.0222,0.0119,"SUBC","Left-Thalamus-Proper"
0.0246,0.0098,"Left-VentralDC",0.0246,0.0119,"SUBC","Left-VentralDC"
0.0075,0.0084,"Left-vessel",0.0075,0.0119,"SUBC","Left-vessel"
